part_name,length_mm,width_mm,qty,material,edging,edge_l,edge_w,room,remarks
Corner Upright,1070,450,1,Super White Melamine,Dumblane,1,0,Kitchen,
Corner Upright,1070,300,1,Super White Melamine,Dumblane,1,0,Kitchen,
Cutout,884,834,4,Super White Melamine,Dumblane,0,0,Kitchen,Cutouts to be made 450 / 300
Miter Corner,1070,170,1,Super White Melamine,Dumblane,1,0,Kitchen,45 Deg Mitre on each side
Corner Stretcher,734,80,2,Super White Melamine,Dumblane,1,0,Kitchen,
Corner Stretcher,868,80,2,Super White Melamine,Dumblane,1,0,Kitchen,
Oven Upright,2414,600,2,Super White Melamine,Dumblane,1,0,Kitchen,
Oven Base,600,600,1,Super White Melamine,Dumblane,1,0,Kitchen,
Oven Shelves,568,600,6,Super White Melamine,Dumblane,1,0,Kitchen,
Oven Shelves,568,575,2,Super White Melamine,Dumblane,1,0,Kitchen,
Oven Stretcher,568,80,2,Super White Melamine,Dumblane,1,0,Kitchen,
Broom Upright,2414,600,2,Super White Melamine,Dumblane,1,0,Kitchen,
Broom Base,600,450,1,Super White Melamine,Dumblane,0,1,Kitchen,
Broom Shelves,600,418,2,Super White Melamine,Dumblane,0,1,Kitchen,
Broom Shelves,575,418,2,Super White Melamine,Dumblane,0,1,Kitchen,
Broom Stretcher,418,80,3,Super White Melamine,Dumblane,1,0,Kitchen,
Base Uprights,730,560,14,Super White Melamine,Dumblane,1,0,Kitchen,
400 Unit Base,560,368,1,Super White Melamine,Dumblane,0,1,Kitchen,
400 Unit Stretcher,368,80,3,Super White Melamine,Dumblane,1,0,Kitchen,
600 Unit Base,568,560,2,Super White Melamine,Dumblane,1,0,Kitchen,
600 Unt Stretcher,568,80,6,Super White Melamine,Dumblane,1,0,Kitchen,
Drawer Components,500,250,4,Super White Melamine,Dumblane,1,0,Kitchen,
Drawer Components,524,237,4,Super White Melamine,Dumblane,1,0,Kitchen,
Drawer Bases,524,468,5,Super White Melamine,Dumblane,0,0,Kitchen,
Blind Shelf & Base,1068,560,2,Super White Melamine,Dumblane,1,0,Kitchen,
Blind Stretcher,1068,80,3,Super White Melamine,Dumblane,1,0,Kitchen,
Sink Base & Shelf,968,560,2,Super White Melamine,Dumblane,1,0,Kitchen,
Sink Stretcher,968,80,3,Super White Melamine,Dumblane,1,0,Kitchen,
Fridge Upright,600,500,2,Super White Melamine,Dumblane,1,0,Kitchen,
Fridge Shelves,918,500,3,Super White Melamine,Dumblane,1,0,Kitchen,
Fridge Stretcher,918,80,2,Super White Melamine,Dumblane,1,0,Kitchen,
Top unit Upright,500,450,4,Super White Melamine,Dumblane,1,0,Kitchen,
Top unit shelves,968,450,6,Super White Melamine,Dumblane,1,0,Kitchen,
Top Unit stretcher,988,80,4,Super White Melamine,Dumblane,1,0,Kitchen,
500 Unit Base,560,468,2,Super White Melamine,Dumblane,0,1,Kitchen,
500 Stretcher,468,80,6,Super White Melamine,Dumblane,1,0,Kitchen,
Bin Components,468,424,5,Super White Melamine,Dumblane,0,0,Kitchen,
Bin Components,600,424,1,Super White Melamine,Dumblane,2,1,Kitchen,
Bin Components,500,450,2,Super White Melamine,Dumblane,1,0,Kitchen,
Bin Components,424,437,1,Super White Melamine,Dumblane,1,0,Kitchen,
Drawer Components,500,198,6,Super White Melamine,Dumblane,1,0,Kitchen,
Drawer Components,524,185,6,Super White Melamine,Dumblane,1,0,Kitchen,
Drawer Components,500,138,8,Super White Melamine,Dumblane,1,0,Kitchen,
Drawer Components,424,125,8,Super White Melamine,Dumblane,1,0,Kitchen,
Drawer Components,500,222,4,Super White Melamine,Dumblane,1,0,Kitchen,
Drawer Components,524,209,4,Super White Melamine,Dumblane,1,0,Kitchen,
Oven Drawer Bases,524,468,2,Super White Melamine,Dumblane,0,0,Kitchen,
Kicker,2745,170,3,Dumblane,Dumblane,0,0,Kitchen,Plinth
